Big Data Account Information            
Account Number  Amount  W/D Transaction Code
23 441.86 D AC64
77 933.29 W AC176
27 321.49 D AC77
31 243.17 D AC180
78 510.32 W AC191
87 153.08 D AC164
29 735.71 W AC75
373 765.64 W DC85
356 364.35 D DC104
331 317.98 D DC140
362 221.38 D DC57
318 470.21 D DC47
377 602.94 W DC209
296 832.01 W DC0
212 214.96 D DC58
209 464.81 D DC58
235 403.51 D DC231
227 978.05 W DC208
219 755.75 W DC208
247 668.36 W DC107
275 123.76 D DC121
67 162.77 D AC168
64 816.64 W AC79
80 178.78 D AC74
62 351.46 D AC126
57 562.89 W AC226
53 253.61 D AC246
6 677.59 W AC163
15 208.90 D AC259
23 285.40 D AC165
80 939.00 W AC137
97 649.14 W AC2
98 813.58 W AC87
61 93.50 D AC290
83 740.74 W AC145
77 307.81 D AC222
49 403.03 D AC152
16 162.19 D AC269
23 475.60 D AC158
51 983.40 W AC184
29 335.81 D AC202
79 485.79 D AC87
83 744.54 W AC267
97 936.14 W AC198
64 258.97 D AC41
8 126.19 D AC150
53 837.29 W AC28
61 418.83 D AC159
